route_no,stop_sequence,stop_name,latitude,longitude
251B,42,Malleshwaram 13th Cross,13.0041925993768,77.5693009275379
251B,43,Malleshwaram 8th Cross,13.0002084124843,77.5694181394887
251B,44,Malleshwaram Circle,12.9972772462286,77.5695200573088
251B,45,Link Road,12.994235933493,77.573859287467
251B,46,Central,12.9897286270066,77.5724232561698
251B,47,Kempegowda Bus Station,12.978062,77.572342
251C,1,Laggere,13.0104310505389,77.5249467306941
251C,2,Parvathi Nagar,13.0163273500355,77.5202312033826
251C,3,MEI Colony,13.0200258427114,77.5206214121549
251C,4,Laggere Cross,13.0228990470922,77.522871601588
251C,5,Rajagopalanagara Police Station,13.0236263589571,77.5217239023852
251C,6,TVS Cross,13.0285953620956,77.5195686195263
251C,7,System Jalahalli Cross,13.0350020451929,77.5179111770754
251C,8,Jalahalli Cross,13.03997892,77.51863784
251C,9,Peenya 1st stage,13.03621356,77.52548776
251C,10,S R S Jalahalli Cross,13.03473989,77.53006188
251C,11,CMTI Goragunte Palya,13.0316378,77.53537182
251C,12,Goragunte Palya,13.02882709,77.54031091
251C,13,MEI Guragunte Palya,13.02654769,77.54441827
251C,14,YPR RMC,13.0247064,77.54766623
251C,15,Govardhan Talkies,13.01868,77.55338
251C,16,Yeshwanthpura TTMC,13.0177657,77.5567529
251C,17,Tata Institute,13.01568,77.56332
251C,18,Kendriya Vidyalaya CPRI,13.01482246,77.57485012
251C,19,Mekhri Circle,13.01463037,77.5846644
251C,20,TV Tower Munireddy palya,13.00917837,77.59123183
251C,21,Munireddy Palya,13.00669164,77.59285894
251C,22,Jaymahal Extension,13.00196847,77.59441475
251C,23,Contonment Railway Station,12.99385097,77.59725653
251C,24,CSI,12.98967272,77.59932932
251C,25,Indian Express,12.98419508,77.59868865
251C,26,Shivajinagar Bus Station,12.98368012,77.6035693
251E,1,Krishnarajendra Market,12.964049,77.577499
251E,2,Town Hall,12.96393155,77.58425661
251E,3,Corporation,12.9685279448,77.5864692125
251E,4,Cauvery Bhavana,12.972107688,77.5824879762
251E,5,Kempegowda Bus Station,12.978678,77.573219
251E,6,Central,12.9896777496,77.5717054121
251E,7,Malleshwaram Circle,12.9978901319732,77.5713099939793
251E,8,Malleshwaram 8th Cross,12.99966,77.57128
251E,9,Malleshwaram 15th Cross,13.005030714,77.5711547211
251E,10,Malleshwaram 18th Cross,13.0090816878,77.5710476004
251E,11,Tata Institute,13.01565694,77.56289701
251E,12,Yeshawanthapura TTMC,13.017420746122461,77.55707759428026
251E,13,Govardhan Talkies,13.01856,77.5532
251E,14,YPR RMC,13.02413089,77.54796652
251E,15,MEI Guragunte Palya,13.02639399,77.54394798
251E,16,Goragunte Palya,13.0286869,77.53990578
251E,17,CMTI Goragunte Palya,13.03046443,77.53663904
